sentiment_coeff,sentence,sentiment,sentiment_rate
"[2.436371903676394, 3.999863239625364, 4.615631520108097, 6.4286479636390075, 20.125481828339538, 16.077804316996474]",g bsa d buka ya min,1,8.947300128730811
"[20.400002087964094, 7.75550262385769, 20.400002087964094]",kuota mana kuota,1,16.18516893326196
"[16.424541165590494, 20.400002087964094, 7.75550262385769]",subsidi kuota mana,1,14.860015292470758
"[20.400002087964094, 7.75550262385769, 20.400002087964094, 16.077804316996474]",kuota mana kuota min,1,16.158327779195588
"[20.400002087964094, 16.077804316996474, 23.949859845910467, 23.611044010781132, 15.225630841782104, 14.599676595500178, 11.652775888603351]",kuota min face with tears of joy,1,17.9309705125054
"[7.75550262385769, 20.400002087964094, 16.077804316996474, 0, 0, 0, 10.132092299437364]",mana kuota min wkwjwk kebury basi ni,1,7.766485904036516
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[20.400002087964094, 7.75550262385769, 20.400002087964094, 27.03235144753129, 8.795444801449408, 6.303114177397782, 12.637010979439866, 15.660432547051537, 5.990517247721101, 20.223691517441853, 13.931538421954992, 13.901446873578898, 15.8816602641892, 15.702596867252138]",kuota mana kuota ini mah keburu uas dulu wkwkwk rolling on the floor laughing,1,14.615379424628141
"[3.9306371076691113, 6.4286479636390075, 0, 9.85709449509632, 4.75539271465705, 18.96129084884488, 4.5097154320174955, 13.452100240564713, 3.581895316936221, 18.263484058208185]",please buka batch 2 donk udah full utk 300 org,1,8.3740258177633
"[10.9360398726983, 0]",punten pakett,1,5.46801993634915
"[16.424541165590494, 20.400002087964094]",subsidi kuota,1,18.412271626777294
"[20.400002087964094, 0]",kuota manaaa,1,10.200001043982047
"[20.400002087964094, 21.743351687956963, 5.2703060756865705, 20.125481828339538, 23.949859845910467, 23.611044010781132, 20.223691517441853, 13.743825228007266]",kuota nya kapan ya face with rolling eyes,1,18.633445285260983
"[10.9360398726983, 20.400002087964094]",punten kuota,1,15.668020980331196
"[20.400002087964094, 7.75550262385769, 20.125481828339538, 20.400002087964094, 13.464566986850604]",kuota mana ya kuota hehe,1,16.429111122995202
"[27.03235144753129, 7.268261216450961, 20.400002087964094, 15.879250785867304, 10.548506411991664]",ini dapet kuota ga sedih,1,16.225674389961064
"[20.400002087964094, 7.75550262385769, 6.303114177397782, 12.637010979439866, 15.660432547051537]",kuota mana keburu uas dulu,1,12.551212483142193
"[20.400002087964094, 7.75550262385769, 0, 17.567245391306468, 0, 0, 3.9203783371872665, 22.644803515935426, 19.991453332194787, 23.949859845910467]",kuota mana uy udh ngisi tiga kali loudly crying face,1,11.622924513435619
